"Features","WordPairs","FeatureMatch"
"Negative-Concrete-Positive-Concrete","roach-pizza","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","roach-popcorn","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","roach-macaroni","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","roach-lollipop","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","roach-house","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","roach-doughnut","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","roach-duckling","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","roach-strawberry","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","roach-grape","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","roach-bunny","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","feces-pizza","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","feces-popcorn","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","feces-macaroni","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","feces-lollipop","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","feces-house","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","feces-doughnut","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","feces-duckling","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","feces-strawberry","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","feces-grape","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","feces-bunny","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","pimple-pizza","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","pimple-popcorn","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","pimple-macaroni","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","pimple-lollipop","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","pimple-house","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","pimple-doughnut","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","pimple-duckling","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","pimple-strawberry","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","pimple-grape","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","pimple-bunny","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","jail-pizza","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","jail-popcorn","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","jail-macaroni","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","jail-lollipop","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","jail-house","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","jail-doughnut","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","jail-duckling","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","jail-strawberry","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","jail-grape","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","jail-bunny","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","casket-pizza","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","casket-popcorn","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","casket-macaroni","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","casket-lollipop","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","casket-house","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","casket-doughnut","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","casket-duckling","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","casket-strawberry","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","casket-grape","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","casket-bunny","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","traffic-pizza","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","traffic-popcorn","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","traffic-macaroni","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","traffic-lollipop","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","traffic-house","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","traffic-doughnut","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","traffic-duckling","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","traffic-strawberry","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","traffic-grape","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","traffic-bunny","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","maggot-pizza","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","maggot-popcorn","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","maggot-macaroni","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","maggot-lollipop","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","maggot-house","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","maggot-doughnut","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","maggot-duckling","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","maggot-strawberry","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","maggot-grape","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","maggot-bunny","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","acne-pizza","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","acne-popcorn","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","acne-macaroni","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","acne-lollipop","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","acne-house","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","acne-doughnut","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","acne-duckling","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","acne-strawberry","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","acne-grape","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","acne-bunny","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","puke-pizza","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","puke-popcorn","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","puke-macaroni","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","puke-lollipop","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","puke-house","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","puke-doughnut","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","puke-duckling","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","puke-strawberry","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","puke-grape","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","puke-bunny","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","wart-pizza","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","wart-popcorn","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","wart-macaroni","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","wart-lollipop","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","wart-house","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","wart-doughnut","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","wart-duckling","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","wart-strawberry","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","wart-grape","ConcreteMatch"
"Negative-Concrete-Positive-Concrete","wart-bunny","ConcreteMatch"
