"Features","WordPairs","FeatureMatch"
"Negative-Abstract-Negative-Concrete","unhappiness-roach","ValenceMatch"
"Negative-Abstract-Negative-Concrete","unhappiness-feces","ValenceMatch"
"Negative-Abstract-Negative-Concrete","unhappiness-pimple","ValenceMatch"
"Negative-Abstract-Negative-Concrete","unhappiness-jail","ValenceMatch"
"Negative-Abstract-Negative-Concrete","unhappiness-casket","ValenceMatch"
"Negative-Abstract-Negative-Concrete","unhappiness-traffic","ValenceMatch"
"Negative-Abstract-Negative-Concrete","unhappiness-maggot","ValenceMatch"
"Negative-Abstract-Negative-Concrete","unhappiness-acne","ValenceMatch"
"Negative-Abstract-Negative-Concrete","unhappiness-puke","ValenceMatch"
"Negative-Abstract-Negative-Concrete","unhappiness-wart","ValenceMatch"
"Negative-Abstract-Negative-Concrete","worthless-roach","ValenceMatch"
"Negative-Abstract-Negative-Concrete","worthless-feces","ValenceMatch"
"Negative-Abstract-Negative-Concrete","worthless-pimple","ValenceMatch"
"Negative-Abstract-Negative-Concrete","worthless-jail","ValenceMatch"
"Negative-Abstract-Negative-Concrete","worthless-casket","ValenceMatch"
"Negative-Abstract-Negative-Concrete","worthless-traffic","ValenceMatch"
"Negative-Abstract-Negative-Concrete","worthless-maggot","ValenceMatch"
"Negative-Abstract-Negative-Concrete","worthless-acne","ValenceMatch"
"Negative-Abstract-Negative-Concrete","worthless-puke","ValenceMatch"
"Negative-Abstract-Negative-Concrete","worthless-wart","ValenceMatch"
"Negative-Abstract-Negative-Concrete","hate-roach","ValenceMatch"
"Negative-Abstract-Negative-Concrete","hate-feces","ValenceMatch"
"Negative-Abstract-Negative-Concrete","hate-pimple","ValenceMatch"
"Negative-Abstract-Negative-Concrete","hate-jail","ValenceMatch"
"Negative-Abstract-Negative-Concrete","hate-casket","ValenceMatch"
"Negative-Abstract-Negative-Concrete","hate-traffic","ValenceMatch"
"Negative-Abstract-Negative-Concrete","hate-maggot","ValenceMatch"
"Negative-Abstract-Negative-Concrete","hate-acne","ValenceMatch"
"Negative-Abstract-Negative-Concrete","hate-puke","ValenceMatch"
"Negative-Abstract-Negative-Concrete","hate-wart","ValenceMatch"
"Negative-Abstract-Negative-Concrete","incurable-roach","ValenceMatch"
"Negative-Abstract-Negative-Concrete","incurable-feces","ValenceMatch"
"Negative-Abstract-Negative-Concrete","incurable-pimple","ValenceMatch"
"Negative-Abstract-Negative-Concrete","incurable-jail","ValenceMatch"
"Negative-Abstract-Negative-Concrete","incurable-casket","ValenceMatch"
"Negative-Abstract-Negative-Concrete","incurable-traffic","ValenceMatch"
"Negative-Abstract-Negative-Concrete","incurable-maggot","ValenceMatch"
"Negative-Abstract-Negative-Concrete","incurable-acne","ValenceMatch"
"Negative-Abstract-Negative-Concrete","incurable-puke","ValenceMatch"
"Negative-Abstract-Negative-Concrete","incurable-wart","ValenceMatch"
