"","X","ID.true","Word","ConcValCombo","Task","BlockOrder","Group","Response","Accuracy","ReactionTime","LogReactionTime"
"1",1,"28bf87dcce8e2296cc0912f3a280fe6b","chocolate","concrete-positive","Valence","VC","A","positive",1,810,6.69703424766648
"2",2,"28bf87dcce8e2296cc0912f3a280fe6b","stench","concrete-negative","Valence","VC","A","negative",1,651,6.47850964220857
"3",3,"28bf87dcce8e2296cc0912f3a280fe6b","home","concrete-positive","Valence","VC","A","positive",1,608,6.41017488196617
"4",4,"28bf87dcce8e2296cc0912f3a280fe6b","injury","concrete-negative","Valence","VC","A","negative",1,693,6.5410299991899
"5",5,"28bf87dcce8e2296cc0912f3a280fe6b","hope","abstract-positive","Valence","VC","A","positive",1,775,6.65286302935335
"6",7,"28bf87dcce8e2296cc0912f3a280fe6b","despair","abstract-negative","Valence","VC","A","negative",1,813,6.70073110954781
"7",8,"28bf87dcce8e2296cc0912f3a280fe6b","sunshine","concrete-positive","Valence","VC","A","positive",1,675,6.51471269087253
"8",9,"28bf87dcce8e2296cc0912f3a280fe6b","kindness","abstract-positive","Valence","VC","A","positive",1,473,6.15909538849193
"9",10,"28bf87dcce8e2296cc0912f3a280fe6b","lonliness","abstract-negative","Valence","VC","A","negative",1,723,6.58340922215876
"10",11,"28bf87dcce8e2296cc0912f3a280fe6b","anxiety","abstract-negative","Valence","VC","A","negative",1,975,6.88243747099785
"11",12,"28bf87dcce8e2296cc0912f3a280fe6b","grief","abstract-negative","Valence","VC","A","negative",1,669,6.50578406012823
"12",13,"28bf87dcce8e2296cc0912f3a280fe6b","music","concrete-positive","Valence","VC","A","positive",1,1059,6.96508034560141
"13",14,"28bf87dcce8e2296cc0912f3a280fe6b","flowers","concrete-positive","Valence","VC","A","positive",1,559,6.3261494731551
"14",15,"28bf87dcce8e2296cc0912f3a280fe6b","regret","abstract-negative","Valence","VC","A","negative",1,667,6.50279004591562
"15",16,"28bf87dcce8e2296cc0912f3a280fe6b","garbage","concrete-negative","Valence","VC","A","negative",1,806,6.69208374250663
"16",17,"28bf87dcce8e2296cc0912f3a280fe6b","inspiration","abstract-positive","Valence","VC","A","positive",1,677,6.51767127291227
"17",18,"28bf87dcce8e2296cc0912f3a280fe6b","hug","concrete-positive","Valence","VC","A","positive",1,866,6.76388490856244
"18",19,"28bf87dcce8e2296cc0912f3a280fe6b","mold","concrete-negative","Valence","VC","A","negative",1,645,6.46925031679577
"19",20,"28bf87dcce8e2296cc0912f3a280fe6b","fireplace","concrete-positive","Valence","VC","A","positive",1,1618,7.38894609761844
"20",21,"28bf87dcce8e2296cc0912f3a280fe6b","rot","concrete-negative","Valence","VC","A","negative",1,576,6.35610766069589
"21",22,"28bf87dcce8e2296cc0912f3a280fe6b","laughter","concrete-positive","Valence","VC","A","positive",1,506,6.22653666928747
"22",23,"28bf87dcce8e2296cc0912f3a280fe6b","smoke","concrete-negative","Valence","VC","A","negative",1,2722,7.90912218321141
"23",24,"28bf87dcce8e2296cc0912f3a280fe6b","joy","abstract-positive","Valence","VC","A","positive",1,618,6.42648845745769
"24",25,"28bf87dcce8e2296cc0912f3a280fe6b","rust","concrete-negative","Valence","VC","A","negative",1,1403,7.24636808010246
"25",26,"28bf87dcce8e2296cc0912f3a280fe6b","resentment","abstract-negative","Valence","VC","A","negative",1,777,6.65544035036765
"26",27,"28bf87dcce8e2296cc0912f3a280fe6b","envy","abstract-negative","Valence","VC","A","negative",1,511,6.2363695902037
"27",28,"28bf87dcce8e2296cc0912f3a280fe6b","shame","abstract-negative","Valence","VC","A","negative",1,738,6.60394382460047
"28",29,"28bf87dcce8e2296cc0912f3a280fe6b","compassion","abstract-positive","Valence","VC","A","positive",1,529,6.2709884318583
"29",30,"28bf87dcce8e2296cc0912f3a280fe6b","beach","concrete-positive","Valence","VC","A","positive",1,602,6.40025744530882
"30",31,"28bf87dcce8e2296cc0912f3a280fe6b","vomit","concrete-negative","Valence","VC","A","negative",1,652,6.48004456192665
"31",32,"28bf87dcce8e2296cc0912f3a280fe6b","failure","abstract-negative","Valence","VC","A","negative",1,642,6.46458830368996
"32",33,"28bf87dcce8e2296cc0912f3a280fe6b","happiness","abstract-positive","Valence","VC","A","positive",1,493,6.20050917404269
"33",34,"28bf87dcce8e2296cc0912f3a280fe6b","love","abstract-positive","Valence","VC","A","positive",1,1010,6.9177056098353
"34",35,"28bf87dcce8e2296cc0912f3a280fe6b","guilt","abstract-negative","Valence","VC","A","negative",1,867,6.76503897678054
"35",36,"28bf87dcce8e2296cc0912f3a280fe6b","gratitude","abstract-positive","Valence","VC","A","positive",1,970,6.87729607149743
"36",37,"28bf87dcce8e2296cc0912f3a280fe6b","freedom","abstract-positive","Valence","VC","A","positive",1,608,6.41017488196617
"37",39,"28bf87dcce8e2296cc0912f3a280fe6b","filth","concrete-negative","Valence","VC","A","negative",1,709,6.56385552653213
"38",40,"28bf87dcce8e2296cc0912f3a280fe6b","peace","abstract-positive","Valence","VC","A","positive",1,628,6.4425401664682
"39",41,"28bf87dcce8e2296cc0912f3a280fe6b","rain","concrete-positive","Valence","VC","A","positive",1,859,6.75576892198425
"40",42,"28bf87dcce8e2296cc0912f3a280fe6b","filth","concrete-negative","Valence","VC","A","negative",1,782,6.66185474054531
"41",43,"28bf87dcce8e2296cc0912f3a280fe6b","inspiration","abstract-positive","Valence","VC","A","positive",1,552,6.31354804627709
"42",44,"28bf87dcce8e2296cc0912f3a280fe6b","freedom","abstract-positive","Valence","VC","A","positive",1,504,6.22257626807137
"43",45,"28bf87dcce8e2296cc0912f3a280fe6b","injury","concrete-negative","Valence","VC","A","negative",1,531,6.27476202124194
"44",47,"28bf87dcce8e2296cc0912f3a280fe6b","home","concrete-positive","Valence","VC","A","positive",1,898,6.8001700683022
"45",48,"28bf87dcce8e2296cc0912f3a280fe6b","resentment","abstract-negative","Valence","VC","A","negative",1,590,6.38012253689976
"46",49,"28bf87dcce8e2296cc0912f3a280fe6b","hug","concrete-positive","Valence","VC","A","positive",1,705,6.55819780281227
